metric,value,ci_low,ci_high,method
macro_f1,0.9951866764851635,0.9938704505989043,0.9963558562936903,logreg
balanced_accuracy,0.9945302562460295,0.9926493870320424,0.9961748863469188,logreg
accuracy,0.995440285985263,0.994476828652389,0.9967818726855934,logreg
macro_f1,0.9969732977392652,0.9959821564754382,0.9981322324428584,knn_pca
balanced_accuracy,0.9968350461188124,0.9955317974806445,0.9984119754382306,knn_pca
accuracy,0.9973006493032757,0.9960799926499863,0.9985815602836879,knn_pca
macro_f1,0.9958757396962027,0.9949512514973792,0.9966019201948582,scvi_knn
balanced_accuracy,0.9962355244134123,0.9946260913985047,0.9975576840583353,scvi_knn
accuracy,0.9960604070912672,0.995087261234025,0.9972387247929043,scvi_knn
macro_f1,0.9971317123612214,0.995981711056612,0.9982980105472463,scanvi
balanced_accuracy,0.9977646718051353,0.9970211431147492,0.9987407431231832,scanvi
accuracy,0.9972276938790399,0.9964595252931513,0.9982289821856444,scanvi
macro_f1,0.9971317123612214,0.995981711056612,0.9982980105472463,scanvi_latent_distance
balanced_accuracy,0.9977646718051353,0.9970211431147492,0.9987407431231832,scanvi_latent_distance
accuracy,0.9972276938790399,0.9964595252931513,0.9982289821856444,scanvi_latent_distance
