metric,value,ci_low,ci_high,method
macro_f1,0.742016397446432,0.703258394997914,0.7436934733788526,logreg
balanced_accuracy,0.7670493725646729,0.7425911242183844,0.772905769573191,logreg
accuracy,0.8180291153415453,0.7817801047120418,0.8469403483532857,logreg
macro_f1,0.7288509691620517,0.6888205904085258,0.7310959545308927,knn_pca
balanced_accuracy,0.757212560015377,0.7227572019691061,0.7612881638774606,knn_pca
accuracy,0.8134636919631321,0.7560596027159483,0.8635747868356044,knn_pca
macro_f1,0.6944191636691912,0.663969498868707,0.6943844993508801,scvi_knn
balanced_accuracy,0.7169856303986518,0.6951209105842497,0.7188381659167311,scvi_knn
accuracy,0.7788784563700577,0.7029031888732487,0.8421559274102096,scvi_knn
macro_f1,0.7537143944580056,0.7113777492574598,0.7537143944580056,scanvi
balanced_accuracy,0.7957404451977326,0.7716753897820967,0.8007605899567093,scanvi
accuracy,0.8229390989749332,0.7862784574879975,0.8526434773673124,scanvi
macro_f1,0.7537143944580056,0.7113777492574598,0.7537143944580056,scanvi_latent_distance
balanced_accuracy,0.7957404451977326,0.7716753897820967,0.8007605899567093,scanvi_latent_distance
accuracy,0.8229390989749332,0.7862784574879975,0.8526434773673124,scanvi_latent_distance
