held_out,method,rank,assigned_to,fraction
Mast cells,logreg,1,CD4+ T cells,0.36693548387096775
Mast cells,logreg,2,Regulatory T cells,0.3629032258064516
Mast cells,logreg,3,IgA+ Plasma,0.06854838709677419
Mast cells,knn_pca,1,CD4+ T cells,0.9153225806451613
Mast cells,knn_pca,2,CD19+CD20+ B,0.03225806451612903
Mast cells,knn_pca,3,Regulatory T cells,0.028225806451612902
Mast cells,scvi_knn,1,CD4+ T cells,0.40725806451612906
Mast cells,scvi_knn,2,NK cells,0.1935483870967742
Mast cells,scvi_knn,3,SPP1+,0.1814516129032258
Mast cells,scanvi,1,NK cells,0.7137096774193549
Mast cells,scanvi,2,CD4+ T cells,0.20967741935483872
Mast cells,scanvi,3,SPP1+,0.028225806451612902
Mast cells,scanvi_latent_distance,1,NK cells,0.7137096774193549
Mast cells,scanvi_latent_distance,2,CD4+ T cells,0.20967741935483872
Mast cells,scanvi_latent_distance,3,SPP1+,0.028225806451612902
Enteric glial cells,logreg,1,IgA+ Plasma,0.4406047516198704
Enteric glial cells,logreg,2,Stromal 3,0.24622030237580994
Enteric glial cells,logreg,3,Stromal 1,0.20302375809935205
Enteric glial cells,knn_pca,1,Stromal 1,0.7580993520518359
Enteric glial cells,knn_pca,2,Myofibroblasts,0.11663066954643629
Enteric glial cells,knn_pca,3,Smooth muscle cells,0.0367170626349892
Enteric glial cells,scvi_knn,1,Stromal 1,0.3779697624190065
Enteric glial cells,scvi_knn,2,Myofibroblasts,0.2159827213822894
Enteric glial cells,scvi_knn,3,Stromal 3,0.17926565874730022
Enteric glial cells,scanvi,1,Myofibroblasts,0.31965442764578833
Enteric glial cells,scanvi,2,Stromal 1,0.24622030237580994
Enteric glial cells,scanvi,3,Smooth muscle cells,0.20518358531317496
Enteric glial cells,scanvi_latent_distance,1,Myofibroblasts,0.31965442764578833
Enteric glial cells,scanvi_latent_distance,2,Stromal 1,0.24622030237580994
Enteric glial cells,scanvi_latent_distance,3,Smooth muscle cells,0.20518358531317496
Goblet cells,logreg,1,CMS3,0.9212121212121213
Goblet cells,logreg,2,Intermediate,0.06666666666666667
Goblet cells,logreg,3,Mature Enterocytes,0.006060606060606061
Goblet cells,knn_pca,1,CMS3,0.7636363636363637
Goblet cells,knn_pca,2,Mature Enterocytes,0.1696969696969697
Goblet cells,knn_pca,3,Intermediate,0.05454545454545454
Goblet cells,scvi_knn,1,CMS3,0.9030303030303031
Goblet cells,scvi_knn,2,Mature Enterocytes,0.06060606060606061
Goblet cells,scvi_knn,3,CMS2,0.030303030303030304
Goblet cells,scanvi,1,CMS3,0.6484848484848484
Goblet cells,scanvi,2,Intermediate,0.2606060606060606
Goblet cells,scanvi,3,Mature Enterocytes,0.07878787878787878
Goblet cells,scanvi_latent_distance,1,CMS3,0.6484848484848484
Goblet cells,scanvi_latent_distance,2,Intermediate,0.2606060606060606
Goblet cells,scanvi_latent_distance,3,Mature Enterocytes,0.07878787878787878
Tip-like ECs,logreg,1,Stalk-like ECs,0.9419354838709677
