held_out,method,n_positive,seen_macro_f1,auroc,auprc,prevalence
Mast cells,logreg,248,0.7344894376924002,0.8558190381563611,0.08546505998593333,0.010681367904212249
Mast cells,knn_pca,248,0.7220708908748357,0.4793136559607904,0.00964633885452011,0.010681367904212249
Mast cells,scvi_knn,248,0.6784011031311816,0.995023838948418,0.5851605529900579,0.010681367904212249
Mast cells,scanvi,248,0.7299241227931343,0.7821235973991321,0.039494198163237224,0.010681367904212249
Mast cells,scanvi_latent_distance,248,0.7299241227931343,0.9878505624447035,0.3454434349883856,0.010681367904212249
Enteric glial cells,logreg,463,0.7338926075093458,0.9091210105960146,0.21504948190725068,0.01994142475665432
Enteric glial cells,knn_pca,463,0.7208882082087045,0.9517783811309597,0.17713844344902605,0.01994142475665432
Enteric glial cells,scvi_knn,463,0.696099916126997,0.9879206288414528,0.5568601722120324,0.01994142475665432
Enteric glial cells,scanvi,463,0.7425669321998909,0.8970753348301681,0.20895136514318388,0.01994142475665432
Enteric glial cells,scanvi_latent_distance,463,0.7425669321998909,0.9946885620277602,0.7274616360589347,0.01994142475665432
Goblet cells,logreg,165,0.7359749609487505,0.469440906264747,0.006559352795679985,0.007106555258850892
Goblet cells,knn_pca,165,0.7232908268321101,0.8310651739272743,0.027928192150164895,0.007106555258850892
Goblet cells,scvi_knn,165,0.708692990027197,0.7219834662944019,0.012410477487516612,0.007106555258850892
Goblet cells,scanvi,165,0.7280169393221825,0.7900920014354276,0.018587555800748723,0.007106555258850892
Goblet cells,scanvi_latent_distance,165,0.7280169393221825,0.8955999942162263,0.04302461184242497,0.007106555258850892
Tip-like ECs,logreg,930,0.7432842045268275,0.6105569851947912,0.04607082421678743,0.04005512964079593
Tip-like ECs,knn_pca,930,0.7354103060062102,0.7794475449443841,0.08813234148182851,0.04005512964079593
Tip-like ECs,scvi_knn,930,0.7026788543089852,0.49645225937676096,0.04341150688214171,0.04005512964079593
Tip-like ECs,scanvi,930,0.7588558409019761,0.33647577364549325,0.027161095395153153,0.04005512964079593
Tip-like ECs,scanvi_latent_distance,930,0.7588558409019761,0.5946735405136281,0.0510360360599023,0.04005512964079593
gamma delta T cells,logreg,159,0.7450696413745305,0.6644788143949033,0.011592629063814452,0.00684813506761995
gamma delta T cells,knn_pca,159,0.7318853675953269,0.38252980254916225,0.005372954357167243,0.00684813506761995
gamma delta T cells,scvi_knn,159,0.7002791027070197,0.5993395121783578,0.007851285703215824,0.00684813506761995
gamma delta T cells,scanvi,159,0.7539790067368264,0.6632481730622104,0.010115348393319705,0.00684813506761995
gamma delta T cells,scanvi_latent_distance,159,0.7539790067368264,0.43524172746913103,0.005515707121654183,0.00684813506761995
Regulatory T cells,logreg,1111,0.7459993987124611,0.7447754410398293,0.1091933144309657,0.047850805409596006
Regulatory T cells,knn_pca,1111,0.7328977735744925,0.302539400364246,0.03258185575302989,0.047850805409596006
Regulatory T cells,scvi_knn,1111,0.7112154312453322,0.8280295732110868,0.15025905205902199,0.047850805409596006
Regulatory T cells,scanvi,1111,0.7505911947653578,0.7517844130728719,0.10702775329338077,0.047850805409596006
Regulatory T cells,scanvi_latent_distance,1111,0.7505911947653578,0.5605219227310165,0.04985406735158769,0.047850805409596006
