,logreg,knn_pca,scvi_knn,scanvi,scanvi_latent_distance
CD19+CD20+ B,0.9918478260869565,0.9877283883283338,0.9940347071583514,0.9912854030501089,0.9912854030501089
CD4+ T cells,0.7848537005163512,0.8183503243744208,0.8187663729459395,0.8247938015496126,0.8247938015496126
CD8+ T cells,0.87248322147651,0.8887267420649398,0.8837039737513671,0.9085295252798148,0.9085295252798148
CMS1,0.5394853593611357,0.0845771144278607,0.1018957345971564,0.6126126126126126,0.6126126126126126
CMS2,0.8611544461778471,0.6190965092402464,0.43187066974595845,0.7101063829787234,0.7101063829787234
CMS3,0.6860965121834687,0.6278130409694171,0.34944237918215615,0.6717076244486453,0.6717076244486453
CMS4,0.0,0.0,0.0,0.0,0.0
Enteric glial cells,0.9913606911447084,0.9935622317596566,0.9946178686759957,0.9956896551724138,0.9956896551724138
Goblet cells,0.8769716088328076,0.8832807570977917,0.7598566308243727,0.8944444444444445,0.8944444444444445
IgA+ Plasma,0.9031870114251352,0.9329937304075235,0.8963855421686747,0.8863033272096347,0.8863033272096347
IgG+ Plasma,0.2997032640949555,0.3663003663003663,0.27906976744186046,0.2584856396866841,0.2584856396866841
Intermediate,0.7411764705882353,0.7529880478087649,0.3238095238095238,0.7864693446088795,0.7864693446088795
Lymphatic ECs,0.983739837398374,0.9795918367346939,0.9754098360655737,0.976,0.976
Mast cells,0.9959514170040485,0.9959677419354839,0.9959677419354839,1.0,1.0
Mature Enterocytes,0.7348484848484849,0.717741935483871,0.7558528428093646,0.8343949044585988,0.8343949044585988
Myofibroblasts,0.8260188087774295,0.819634703196347,0.763663776856389,0.8228392647633946,0.8228392647633946
NK cells,0.8108108108108109,0.8125,0.8532423208191127,0.8276972624798712,0.8276972624798712
Pericytes,0.8888888888888888,0.9078651685393259,0.9055745164960182,0.9131403118040089,0.9131403118040089
Pro-inflammatory,0.43103448275862066,0.534965034965035,0.4813039309683605,0.46557971014492755,0.46557971014492755
Proliferating,0.12794612794612795,0.11604095563139932,0.11643835616438356,0.14935064935064934,0.14935064935064934
Regulatory T cells,0.7533059735522116,0.7616707616707616,0.7808802650260294,0.7794048181388757,0.7794048181388757
SPP1+,0.6048109965635738,0.6150670794633643,0.6240384615384615,0.6086503387180824,0.6086503387180824
Smooth muscle cells,0.9348591549295775,0.9354553492484527,0.9309153713298791,0.9375,0.9375
Stalk-like ECs,0.8356164383561644,0.8103448275862069,0.8561278863232682,0.8481675392670157,0.8481675392670157
Stem-like/TA,0.9094827586206896,0.9432048681541582,0.794425087108014,0.9206680584551148,0.9206680584551148
Stromal 1,0.7697478991596639,0.7709213863060017,0.75,0.7786259541984732,0.7786259541984732
Stromal 2,0.7662082514734774,0.7738095238095238,0.7908902691511387,0.7662082514734774,0.7662082514734774
Stromal 3,0.9727752945956928,0.9597205096588574,0.9396785639741181,0.9679787884968387,0.9679787884968387
T follicular helper cells,0.7524752475247525,0.5797101449275363,0.7723577235772358,0.7250384024577573,0.7250384024577573
T helper 17 cells,0.5177111716621253,0.5757121439280359,0.545774647887324,0.6330532212885154,0.6330532212885154
Tip-like ECs,0.8750726321905868,0.8630372492836677,0.9016949152542373,0.8867165037377803,0.8867165037377803
cDC,0.7419354838709677,0.8063660477453581,0.7954545454545454,0.7061503416856492,0.7061503416856492
gamma delta T cells,0.7049808429118773,0.8173374613003096,0.7526881720430108,0.7849829351535836,0.7849829351535836
